block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G2/generic#4	G0/generic#8	0	0	0	0	0	0
G2/generic#4	G1/generic#8	0	0	0	0	0	0
G2/generic#4	G2/generic#8	0	0	0	0	0	0
G2/generic#4	G3/generic#8	0	0	0	0	0	0
G2/generic#4	G0/generic#9	0	0	0	0	0	0
G2/generic#4	G1/generic#9	0	0	0	0	0	0
G2/generic#4	G2/generic#9	0	0	0	0	0	0
G2/generic#4	G3/generic#9	0	0	0	0	0	0
G2/generic#4	G0/generic#10	0	0	0	0	0	0
G2/generic#4	G1/generic#10	0	0	0	0	0	0
G2/generic#4	G2/generic#10	0	0	0	0	0	0
G2/generic#4	G3/generic#10	0	0	0	0	0	0
G2/generic#4	G0/generic#11	0	0	0	0	0	0
G2/generic#4	G1/generic#11	0	0	0	0	0	0
G2/generic#4	G2/generic#11	0	0	0	0	0	0
G2/generic#4	G3/generic#11	0	0	0	0	0	0
G2/generic#4	G0/generic#12	0	0	0	0	0	0
G2/generic#4	G1/generic#12	0	0	0	0	0	0
G2/generic#4	G2/generic#12	0	0	0	0	0	0
G2/generic#4	G3/generic#12	0	0	0	0	0	0
G2/generic#4	G0/generic#13	0	0	0	0	0	0
G2/generic#4	G1/generic#13	0	0	0	0	0	0
G2/generic#4	G2/generic#13	0	0	0	0	0	0
G2/generic#4	G3/generic#13	0	0	0	0	0	0
G2/generic#4	G0/generic#14	0	0	0	0	0	0
G2/generic#4	G1/generic#14	0	0	0	0	0	0
G2/generic#4	G2/generic#14	0	0	0	0	0	0
G2/generic#4	G3/generic#14	0	0	0	0	0	0
G2/generic#4	G0/generic#15	0	0	0	0	0	0
G2/generic#4	G1/generic#15	0	0	0	0	0	0
G2/generic#4	G2/generic#15	0	0	0	0	0	0
G2/generic#4	G3/generic#15	0	0	0	0	0	0
G3/generic#4	G0/generic#5	0	0	0	0	0	0
G3/generic#4	G1/generic#5	0	0	0	0	0	0
G3/generic#4	G2/generic#5	0	0	0	0	0	0
G3/generic#4	G3/generic#5	0	0	0	0	0	0
G3/generic#4	G0/generic#6	0	0	0	0	0	0
G3/generic#4	G1/generic#6	0	0	0	0	0	0
G3/generic#4	G2/generic#6	0	0	0	0	0	0
G3/generic#4	G3/generic#6	0	0	0	0	0	0
G3/generic#4	G0/generic#7	0	0	0	0	0	0
G3/generic#4	G1/generic#7	0	0	0	0	0	0
G3/generic#4	G2/generic#7	0	0	0	0	0	0
G3/generic#4	G3/generic#7	0	0	0	0	0	0
G3/generic#4	G0/generic#8	0	0	0	0	0	0
G3/generic#4	G1/generic#8	0	0	0	0	0	0
G3/generic#4	G2/generic#8	0	0	0	0	0	0
G3/generic#4	G3/generic#8	0	0	0	0	0	0
G3/generic#4	G0/generic#9	0	0	0	0	0	0
G3/generic#4	G1/generic#9	0	0	0	0	0	0
G3/generic#4	G2/generic#9	0	0	0	0	0	0
G3/generic#4	G3/generic#9	0	0	0	0	0	0
G3/generic#4	G0/generic#10	0	0	0	0	0	0
G3/generic#4	G1/generic#10	0	0	0	0	0	0
G3/generic#4	G2/generic#10	0	0	0	0	0	0
G3/generic#4	G3/generic#10	0	0	0	0	0	0
G3/generic#4	G0/generic#11	0	0	0	0	0	0
G3/generic#4	G1/generic#11	0	0	0	0	0	0
G3/generic#4	G2/generic#11	0	0	0	0	0	0
G3/generic#4	G3/generic#11	0	0	0	0	0	0
G3/generic#4	G0/generic#12	0	0	0	0	0	0
G3/generic#4	G1/generic#12	0	0	0	0	0	0
G3/generic#4	G2/generic#12	0	0	0	0	0	0
G3/generic#4	G3/generic#12	0	0	0	0	0	0
G3/generic#4	G0/generic#13	0	0	0	0	0	0
G3/generic#4	G1/generic#13	0	0	0	0	0	0
G3/generic#4	G2/generic#13	0	0	0	0	0	0
G3/generic#4	G3/generic#13	0	0	0	0	0	0
G3/generic#4	G0/generic#14	0	0	0	0	0	0
G3/generic#4	G1/generic#14	0	0	0	0	0	0
G3/generic#4	G2/generic#14	0	0	0	0	0	0
G3/generic#4	G3/generic#14	0	0	0	0	0	0
G3/generic#4	G0/generic#15	0	0	0	0	0	0
G3/generic#4	G1/generic#15	0	0	0	0	0	0
G3/generic#4	G2/generic#15	0	0	0	0	0	0
G3/generic#4	G3/generic#15	0	0	0	0	0	0
G0/generic#5	G1/generic#5	0	0	0	0	0	0
G0/generic#5	G2/generic#5	0	0	0	0	0	0
G0/generic#5	G3/generic#5	0	0	0	0	0	0
G0/generic#5	G0/generic#6	0	0	0	0	0	0
G0/generic#5	G1/generic#6	0	0	0	0	0	0
G0/generic#5	G2/generic#6	0	0	0	0	0	0
G0/generic#5	G3/generic#6	0	0	0	0	0	0
G0/generic#5	G0/generic#7	0	0	0	0	0	0
G0/generic#5	G1/generic#7	0	0	0	0	0	0
G0/generic#5	G2/generic#7	0	0	0	0	0	0
G0/generic#5	G3/generic#7	0	0	0	0	0	0
G0/generic#5	G0/generic#8	0	0	0	0	0	0
G0/generic#5	G1/generic#8	0	0	0	0	0	0
G0/generic#5	G2/generic#8	0	0	0	0	0	0
G0/generic#5	G3/generic#8	0	0	0	0	0	0
G0/generic#5	G0/generic#9	0	0	0	0	0	0
G0/generic#5	G1/generic#9	0	0	0	0	0	0
G0/generic#5	G2/generic#9	0	0	0	0	0	0
G0/generic#5	G3/generic#9	0	0	0	0	0	0
G0/generic#5	G0/generic#10	0	0	0	0	0	0
G0/generic#5	G1/generic#10	0	0	0	0	0	0
G0/generic#5	G2/generic#10	0	0	0	0	0	0
G0/generic#5	G3/generic#10	0	0	0	0	0	0
G0/generic#5	G0/generic#11	0	0	0	0	0	0
G0/generic#5	G1/generic#11	0	0	0	0	0	0
G0/generic#5	G2/generic#11	0	0	0	0	0	0
G0/generic#5	G3/generic#11	0	0	0	0	0	0
G0/generic#5	G0/generic#12	0	0	0	0	0	0
G0/generic#5	G1/generic#12	0	0	0	0	0	0
G0/generic#5	G2/generic#12	0	0	0	0	0	0
G0/generic#5	G3/generic#12	0	0	0	0	0	0
G0/generic#5	G0/generic#13	0	0	0	0	0	0
G0/generic#5	G1/generic#13	0	0	0	0	0	0
G0/generic#5	G2/generic#13	0	0	0	0	0	0
G0/generic#5	G3/generic#13	0	0	0	0	0	0
G0/generic#5	G0/generic#14	0	0	0	0	0	0
G0/generic#5	G1/generic#14	0	0	0	0	0	0
G0/generic#5	G2/generic#14	0	0	0	0	0	0
G0/generic#5	G3/generic#14	0	0	0	0	0	0
G0/generic#5	G0/generic#15	0	0	0	0	0	0
G0/generic#5	G1/generic#15	0	0	0	0	0	0
G0/generic#5	G2/generic#15	0	0	0	0	0	0
G0/generic#5	G3/generic#15	0	0	0	0	0	0
G1/generic#5	G2/generic#5	0	0	0	0	0	0
G1/generic#5	G3/generic#5	0	0	0	0	0	0
G1/generic#5	G0/generic#6	0	0	0	0	0	0
G1/generic#5	G1/generic#6	0	0	0	0	0	0
G1/generic#5	G2/generic#6	0	0	0	0	0	0
G1/generic#5	G3/generic#6	0	0	0	0	0	0
G1/generic#5	G0/generic#7	0	0	0	0	0	0
G1/generic#5	G1/generic#7	0	0	0	0	0	0
G1/generic#5	G2/generic#7	0	0	0	0	0	0
G1/generic#5	G3/generic#7	0	0	0	0	0	0
G1/generic#5	G0/generic#8	0	0	0	0	0	0
G1/generic#5	G1/generic#8	0	0	0	0	0	0
G1/generic#5	G2/generic#8	0	0	0	0	0	0
G1/generic#5	G3/generic#8	0	0	0	0	0	0
G1/generic#5	G0/generic#9	0	0	0	0	0	0
G1/generic#5	G1/generic#9	0	0	0	0	0	0
G1/generic#5	G2/generic#9	0	0	0	0	0	0
G1/generic#5	G3/generic#9	0	0	0	0	0	0
G1/generic#5	G0/generic#10	0	0	0	0	0	0
G1/generic#5	G1/generic#10	0	0	0	0	0	0
G1/generic#5	G2/generic#10	0	0	0	0	0	0
G1/generic#5	G3/generic#10	0	0	0	0	0	0
G1/generic#5	G0/generic#11	0	0	0	0	0	0
G1/generic#5	G1/generic#11	0	0	0	0	0	0
G1/generic#5	G2/generic#11	0	0	0	0	0	0
G1/generic#5	G3/generic#11	0	0	0	0	0	0
G1/generic#5	G0/generic#12	0	0	0	0	0	0
G1/generic#5	G1/generic#12	0	0	0	0	0	0
G1/generic#5	G2/generic#12	0	0	0	0	0	0
G1/generic#5	G3/generic#12	0	0	0	0	0	0
G1/generic#5	G0/generic#13	0	0	0	0	0	0
G1/generic#5	G1/generic#13	0	0	0	0	0	0
G1/generic#5	G2/generic#13	0	0	0	0	0	0
G1/generic#5	G3/generic#13	0	0	0	0	0	0
G1/generic#5	G0/generic#14	0	0	0	0	0	0
G1/generic#5	G1/generic#14	0	0	0	0	0	0
G1/generic#5	G2/generic#14	0	0	0	0	0	0
G1/generic#5	G3/generic#14	0	0	0	0	0	0
G1/generic#5	G0/generic#15	0	0	0	0	0	0
G1/generic#5	G1/generic#15	0	0	0	0	0	0
G1/generic#5	G2/generic#15	0	0	0	0	0	0
G1/generic#5	G3/generic#15	0	0	0	0	0	0
G2/generic#5	G3/generic#5	0	0	0	0	0	0
G2/generic#5	G0/generic#6	0	0	0	0	0	0
G2/generic#5	G1/generic#6	0	0	0	0	0	0
G2/generic#5	G2/generic#6	0	0	0	0	0	0
G2/generic#5	G3/generic#6	0	0	0	0	0	0
G2/generic#5	G0/generic#7	0	0	0	0	0	0
G2/generic#5	G1/generic#7	0	0	0	0	0	0
G2/generic#5	G2/generic#7	0	0	0	0	0	0
G2/generic#5	G3/generic#7	0	0	0	0	0	0
G2/generic#5	G0/generic#8	0	0	0	0	0	0
G2/generic#5	G1/generic#8	0	0	0	0	0	0
G2/generic#5	G2/generic#8	0	0	0	0	0	0
G2/generic#5	G3/generic#8	0	0	0	0	0	0
G2/generic#5	G0/generic#9	0	0	0	0	0	0
G2/generic#5	G1/generic#9	0	0	0	0	0	0
G2/generic#5	G2/generic#9	0	0	0	0	0	0
G2/generic#5	G3/generic#9	0	0	0	0	0	0
G2/generic#5	G0/generic#10	0	0	0	0	0	0
G2/generic#5	G1/generic#10	0	0	0	0	0	0
G2/generic#5	G2/generic#10	0	0	0	0	0	0
G2/generic#5	G3/generic#10	0	0	0	0	0	0
G2/generic#5	G0/generic#11	0	0	0	0	0	0
G2/generic#5	G1/generic#11	0	0	0	0	0	0
G2/generic#5	G2/generic#11	0	0	0	0	0	0
G2/generic#5	G3/generic#11	0	0	0	0	0	0
G2/generic#5	G0/generic#12	0	0	0	0	0	0
G2/generic#5	G1/generic#12	0	0	0	0	0	0
G2/generic#5	G2/generic#12	0	0	0	0	0	0
G2/generic#5	G3/generic#12	0	0	0	0	0	0
G2/generic#5	G0/generic#13	0	0	0	0	0	0
G2/generic#5	G1/generic#13	0	0	0	0	0	0
G2/generic#5	G2/generic#13	0	0	0	0	0	0
G2/generic#5	G3/generic#13	0	0	0	0	0	0
G2/generic#5	G0/generic#14	0	0	0	0	0	0
G2/generic#5	G1/generic#14	0	0	0	0	0	0
G2/generic#5	G2/generic#14	0	0	0	0	0	0
G2/generic#5	G3/generic#14	0	0	0	0	0	0
G2/generic#5	G0/generic#15	0	0	0	0	0	0
G2/generic#5	G1/generic#15	0	0	0	0	0	0
G2/generic#5	G2/generic#15	0	0	0	0	0	0
G2/generic#5	G3/generic#15	0	0	0	0	0	0
G3/generic#5	G0/generic#6	0	0	0	0	0	0
G3/generic#5	G1/generic#6	0	0	0	0	0	0
G3/generic#5	G2/generic#6	0	0	0	0	0	0
G3/generic#5	G3/generic#6	0	0	0	0	0	0
G3/generic#5	G0/generic#7	0	0	0	0	0	0
G3/generic#5	G1/generic#7	0	0	0	0	0	0
G3/generic#5	G2/generic#7	0	0	0	0	0	0
G3/generic#5	G3/generic#7	0	0	0	0	0	0
G3/generic#5	G0/generic#8	0	0	0	0	0	0
G3/generic#5	G1/generic#8	0	0	0	0	0	0
G3/generic#5	G2/generic#8	0	0	0	0	0	0
G3/generic#5	G3/generic#8	0	0	0	0	0	0
G3/generic#5	G0/generic#9	0	0	0	0	0	0
G3/generic#5	G1/generic#9	0	0	0	0	0	0
G3/generic#5	G2/generic#9	0	0	0	0	0	0
G3/generic#5	G3/generic#9	0	0	0	0	0	0
G3/generic#5	G0/generic#10	0	0	0	0	0	0
G3/generic#5	G1/generic#10	0	0	0	0	0	0
G3/generic#5	G2/generic#10	0	0	0	0	0	0
G3/generic#5	G3/generic#10	0	0	0	0	0	0
G3/generic#5	G0/generic#11	0	0	0	0	0	0
G3/generic#5	G1/generic#11	0	0	0	0	0	0
G3/generic#5	G2/generic#11	0	0	0	0	0	0
G3/generic#5	G3/generic#11	0	0	0	0	0	0
G3/generic#5	G0/generic#12	0	0	0	0	0	0
G3/generic#5	G1/generic#12	0	0	0	0	0	0
G3/generic#5	G2/generic#12	0	0	0	0	0	0
G3/generic#5	G3/generic#12	0	0	0	0	0	0
G3/generic#5	G0/generic#13	0	0	0	0	0	0
G3/generic#5	G1/generic#13	0	0	0	0	0	0
G3/generic#5	G2/generic#13	0	0	0	0	0	0
G3/generic#5	G3/generic#13	0	0	0	0	0	0
G3/generic#5	G0/generic#14	0	0	0	0	0	0
G3/generic#5	G1/generic#14	0	0	0	0	0	0
G3/generic#5	G2/generic#14	0	0	0	0	0	0
G3/generic#5	G3/generic#14	0	0	0	0	0	0
G3/generic#5	G0/generic#15	0	0	0	0	0	0
G3/generic#5	G1/generic#15	0	0	0	0	0	0
G3/generic#5	G2/generic#15	0	0	0	0	0	0
G3/generic#5	G3/generic#15	0	0	0	0	0	0
G0/generic#6	G1/generic#6	0	0	0	0	0	0
G0/generic#6	G2/generic#6	0	0	0	0	0	0
G0/generic#6	G3/generic#6	0	0	0	0	0	0
G0/generic#6	G0/generic#7	0	0	0	0	0	0
G0/generic#6	G1/generic#7	0	0	0	0	0	0
G0/generic#6	G2/generic#7	0	0	0	0	0	0
G0/generic#6	G3/generic#7	0	0	0	0	0	0
G0/generic#6	G0/generic#8	0	0	0	0	0	0
G0/generic#6	G1/generic#8	0	0	0	0	0	0
G0/generic#6	G2/generic#8	0	0	0	0	0	0
G0/generic#6	G3/generic#8	0	0	0	0	0	0
G0/generic#6	G0/generic#9	0	0	0	0	0	0
G0/generic#6	G1/generic#9	0	0	0	0	0	0
G0/generic#6	G2/generic#9	0	0	0	0	0	0
G0/generic#6	G3/generic#9	0	0	0	0	0	0
G0/generic#6	G0/generic#10	0	0	0	0	0	0
G0/generic#6	G1/generic#10	0	0	0	0	0	0
G0/generic#6	G2/generic#10	0	0	0	0	0	0
G0/generic#6	G3/generic#10	0	0	0	0	0	0
G0/generic#6	G0/generic#11	0	0	0	0	0	0
G0/generic#6	G1/generic#11	0	0	0	0	0	0
G0/generic#6	G2/generic#11	0	0	0	0	0	0
G0/generic#6	G3/generic#11	0	0	0	0	0	0
G0/generic#6	G0/generic#12	0	0	0	0	0	0
G0/generic#6	G1/generic#12	0	0	0	0	0	0
G0/generic#6	G2/generic#12	0	0	0	0	0	0
G0/generic#6	G3/generic#12	0	0	0	0	0	0
G0/generic#6	G0/generic#13	0	0	0	0	0	0
G0/generic#6	G1/generic#13	0	0	0	0	0	0
G0/generic#6	G2/generic#13	0	0	0	0	0	0
G0/generic#6	G3/generic#13	0	0	0	0	0	0
G0/generic#6	G0/generic#14	0	0	0	0	0	0
G0/generic#6	G1/generic#14	0	0	0	0	0	0
G0/generic#6	G2/generic#14	0	0	0	0	0	0
G0/generic#6	G3/generic#14	0	0	0	0	0	0
G0/generic#6	G0/generic#15	0	0	0	0	0	0
G0/generic#6	G1/generic#15	0	0	0	0	0	0
G0/generic#6	G2/generic#15	0	0	0	0	0	0
G0/generic#6	G3/generic#15	0	0	0	0	0	0
G1/generic#6	G2/generic#6	0	0	0	0	0	0
G1/generic#6	G3/generic#6	0	0	0	0	0	0
G1/generic#6	G0/generic#7	0	0	0	0	0	0
G1/generic#6	G1/generic#7	0	0	0	0	0	0
G1/generic#6	G2/generic#7	0	0	0	0	0	0
G1/generic#6	G3/generic#7	0	0	0	0	0	0
G1/generic#6	G0/generic#8	0	0	0	0	0	0
G1/generic#6	G1/generic#8	0	0	0	0	0	0
G1/generic#6	G2/generic#8	0	0	0	0	0	0
G1/generic#6	G3/generic#8	0	0	0	0	0	0
G1/generic#6	G0/generic#9	0	0	0	0	0	0
G1/generic#6	G1/generic#9	0	0	0	0	0	0
G1/generic#6	G2/generic#9	0	0	0	0	0	0
G1/generic#6	G3/generic#9	0	0	0	0	0	0
G1/generic#6	G0/generic#10	0	0	0	0	0	0
G1/generic#6	G1/generic#10	0	0	0	0	0	0
G1/generic#6	G2/generic#10	0	0	0	0	0	0
G1/generic#6	G3/generic#10	0	0	0	0	0	0
G1/generic#6	G0/generic#11	0	0	0	0	0	0
G1/generic#6	G1/generic#11	0	0	0	0	0	0
G1/generic#6	G2/generic#11	0	0	0	0	0	0
G1/generic#6	G3/generic#11	0	0	0	0	0	0
G1/generic#6	G0/generic#12	0	0	0	0	0	0
G1/generic#6	G1/generic#12	0	0	0	0	0	0
G1/generic#6	G2/generic#12	0	0	0	0	0	0
G1/generic#6	G3/generic#12	0	0	0	0	0	0
G1/generic#6	G0/generic#13	0	0	0	0	0	0
G1/generic#6	G1/generic#13	0	0	0	0	0	0
G1/generic#6	G2/generic#13	0	0	0	0	0	0
G1/generic#6	G3/generic#13	0	0	0	0	0	0
G1/generic#6	G0/generic#14	0	0	0	0	0	0
G1/generic#6	G1/generic#14	0	0	0	0	0	0
G1/generic#6	G2/generic#14	0	0	0	0	0	0
G1/generic#6	G3/generic#14	0	0	0	0	0	0
G1/generic#6	G0/generic#15	0	0	0	0	0	0
G1/generic#6	G1/generic#15	0	0	0	0	0	0
G1/generic#6	G2/generic#15	0	0	0	0	0	0
G1/generic#6	G3/generic#15	0	0	0	0	0	0
G2/generic#6	G3/generic#6	0	0	0	0	0	0
G2/generic#6	G0/generic#7	0	0	0	0	0	0
G2/generic#6	G1/generic#7	0	0	0	0	0	0
G2/generic#6	G2/generic#7	0	0	0	0	0	0
G2/generic#6	G3/generic#7	0	0	0	0	0	0
G2/generic#6	G0/generic#8	0	0	0	0	0	0
G2/generic#6	G1/generic#8	0	0	0	0	0	0
G2/generic#6	G2/generic#8	0	0	0	0	0	0
G2/generic#6	G3/generic#8	0	0	0	0	0	0
G2/generic#6	G0/generic#9	0	0	0	0	0	0
G2/generic#6	G1/generic#9	0	0	0	0	0	0
G2/generic#6	G2/generic#9	0	0	0	0	0	0
G2/generic#6	G3/generic#9	0	0	0	0	0	0
G2/generic#6	G0/generic#10	0	0	0	0	0	0
G2/generic#6	G1/generic#10	0	0	0	0	0	0
G2/generic#6	G2/generic#10	0	0	0	0	0	0
G2/generic#6	G3/generic#10	0	0	0	0	0	0
G2/generic#6	G0/generic#11	0	0	0	0	0	0
G2/generic#6	G1/generic#11	0	0	0	0	0	0
G2/generic#6	G2/generic#11	0	0	0	0	0	0
G2/generic#6	G3/generic#11	0	0	0	0	0	0
G2/generic#6	G0/generic#12	0	0	0	0	0	0
G2/generic#6	G1/generic#12	0	0	0	0	0	0
G2/generic#6	G2/generic#12	0	0	0	0	0	0
G2/generic#6	G3/generic#12	0	0	0	0	0	0
G2/generic#6	G0/generic#13	0	0	0	0	0	0
G2/generic#6	G1/generic#13	0	0	0	0	0	0
G2/generic#6	G2/generic#13	0	0	0	0	0	0
G2/generic#6	G3/generic#13	0	0	0	0	0	0
G2/generic#6	G0/generic#14	0	0	0	0	0	0
G2/generic#6	G1/generic#14	0	0	0	0	0	0
G2/generic#6	G2/generic#14	0	0	0	0	0	0
G2/generic#6	G3/generic#14	0	0	0	0	0	0
G2/generic#6	G0/generic#15	0	0	0	0	0	0
G2/generic#6	G1/generic#15	0	0	0	0	0	0
G2/generic#6	G2/generic#15	0	0	0	0	0	0
G2/generic#6	G3/generic#15	0	0	0	0	0	0
G3/generic#6	G0/generic#7	0	0	0	0	0	0
G3/generic#6	G1/generic#7	0	0	0	0	0	0
G3/generic#6	G2/generic#7	0	0	0	0	0	0
G3/generic#6	G3/generic#7	0	0	0	0	0	0
G3/generic#6	G0/generic#8	0	0	0	0	0	0
G3/generic#6	G1/generic#8	0	0	0	0	0	0
G3/generic#6	G2/generic#8	0	0	0	0	0	0
G3/generic#6	G3/generic#8	0	0	0	0	0	0
G3/generic#6	G0/generic#9	0	0	0	0	0	0
G3/generic#6	G1/generic#9	0	0	0	0	0	0
G3/generic#6	G2/generic#9	0	0	0	0	0	0
G3/generic#6	G3/generic#9	0	0	0	0	0	0
G3/generic#6	G0/generic#10	0	0	0	0	0	0
G3/generic#6	G1/generic#10	0	0	0	0	0	0
G3/generic#6	G2/generic#10	0	0	0	0	0	0
G3/generic#6	G3/generic#10	0	0	0	0	0	0
G3/generic#6	G0/generic#11	0	0	0	0	0	0
G3/generic#6	G1/generic#11	0	0	0	0	0	0
G3/generic#6	G2/generic#11	0	0	0	0	0	0
G3/generic#6	G3/generic#11	0	0	0	0	0	0
G3/generic#6	G0/generic#12	0	0	0	0	0	0
G3/generic#6	G1/generic#12	0	0	0	0	0	0
G3/generic#6	G2/generic#12	0	0	0	0	0	0
G3/generic#6	G3/generic#12	0	0	0	0	0	0
G3/generic#6	G0/generic#13	0	0	0	0	0	0
G3/generic#6	G1/generic#13	0	0	0	0	0	0
G3/generic#6	G2/generic#13	0	0	0	0	0	0
G3/generic#6	G3/generic#13	0	0	0	0	0	0
G3/generic#6	G0/generic#14	0	0	0	0	0	0
G3/generic#6	G1/generic#14	0	0	0	0	0	0
G3/generic#6	G2/generic#14	0	0	0	0	0	0
G3/generic#6	G3/generic#14	0	0	0	0	0	0
G3/generic#6	G0/generic#15	0	0	0	0	0	0
G3/generic#6	G1/generic#15	0	0	0	0	0	0
G3/generic#6	G2/generic#15	0	0	0	0	0	0
G3/generic#6	G3/generic#15	0	0	0	0	0	0
G0/generic#7	G1/generic#7	0	0	0	0	0	0
G0/generic#7	G2/generic#7	0	0	0	0	0	0
G0/generic#7	G3/generic#7	0	0	0	0	0	0
G0/generic#7	G0/generic#8	0	0	0	0	0	0
G0/generic#7	G1/generic#8	0	0	0	0	0	0
G0/generic#7	G2/generic#8	0	0	0	0	0	0
G0/generic#7	G3/generic#8	0	0	0	0	0	0
G0/generic#7	G0/generic#9	0	0	0	0	0	0
G0/generic#7	G1/generic#9	0	0	0	0	0	0
G0/generic#7	G2/generic#9	0	0	0	0	0	0
G0/generic#7	G3/generic#9	0	0	0	0	0	0
G0/generic#7	G0/generic#10	0	0	0	0	0	0
G0/generic#7	G1/generic#10	0	0	0	0	0	0
G0/generic#7	G2/generic#10	0	0	0	0	0	0
G0/generic#7	G3/generic#10	0	0	0	0	0	0
G0/generic#7	G0/generic#11	0	0	0	0	0	0
G0/generic#7	G1/generic#11	0	0	0	0	0	0
G0/generic#7	G2/generic#11	0	0	0	0	0	0
G0/generic#7	G3/generic#11	0	0	0	0	0	0
G0/generic#7	G0/generic#12	0	0	0	0	0	0
G0/generic#7	G1/generic#12	0	0	0	0	0	0
G0/generic#7	G2/generic#12	0	0	0	0	0	0
G0/generic#7	G3/generic#12	0	0	0	0	0	0
G0/generic#7	G0/generic#13	0	0	0	0	0	0
G0/generic#7	G1/generic#13	0	0	0	0	0	0
G0/generic#7	G2/generic#13	0	0	0	0	0	0
G0/generic#7	G3/generic#13	0	0	0	0	0	0
G0/generic#7	G0/generic#14	0	0	0	0	0	0
G0/generic#7	G1/generic#14	0	0	0	0	0	0
G0/generic#7	G2/generic#14	0	0	0	0	0	0
G0/generic#7	G3/generic#14	0	0	0	0	0	0
G0/generic#7	G0/generic#15	0	0	0	0	0	0
G0/generic#7	G1/generic#15	0	0	0	0	0	0
G0/generic#7	G2/generic#15	0	0	0	0	0	0
G0/generic#7	G3/generic#15	0	0	0	0	0	0
G1/generic#7	G2/generic#7	0	0	0	0	0	0
G1/generic#7	G3/generic#7	0	0	0	0	0	0
G1/generic#7	G0/generic#8	0	0	0	0	0	0
G1/generic#7	G1/generic#8	0	0	0	0	0	0
G1/generic#7	G2/generic#8	0	0	0	0	0	0
G1/generic#7	G3/generic#8	0	0	0	0	0	0
G1/generic#7	G0/generic#9	0	0	0	0	0	0
G1/generic#7	G1/generic#9	0	0	0	0	0	0
G1/generic#7	G2/generic#9	0	0	0	0	0	0
G1/generic#7	G3/generic#9	0	0	0	0	0	0
G1/generic#7	G0/generic#10	0	0	0	0	0	0
G1/generic#7	G1/generic#10	0	0	0	0	0	0
G1/generic#7	G2/generic#10	0	0	0	0	0	0
G1/generic#7	G3/generic#10	0	0	0	0	0	0
G1/generic#7	G0/generic#11	0	0	0	0	0	0
G1/generic#7	G1/generic#11	0	0	0	0	0	0
G1/generic#7	G2/generic#11	0	0	0	0	0	0
G1/generic#7	G3/generic#11	0	0	0	0	0	0
G1/generic#7	G0/generic#12	0	0	0	0	0	0
G1/generic#7	G1/generic#12	0	0	0	0	0	0
G1/generic#7	G2/generic#12	0	0	0	0	0	0
G1/generic#7	G3/generic#12	0	0	0	0	0	0
G1/generic#7	G0/generic#13	0	0	0	0	0	0
G1/generic#7	G1/generic#13	0	0	0	0	0	0
G1/generic#7	G2/generic#13	0	0	0	0	0	0
G1/generic#7	G3/generic#13	0	0	0	0	0	0
G1/generic#7	G0/generic#14	0	0	0	0	0	0
G1/generic#7	G1/generic#14	0	0	0	0	0	0
G1/generic#7	G2/generic#14	0	0	0	0	0	0
G1/generic#7	G3/generic#14	0	0	0	0	0	0
G1/generic#7	G0/generic#15	0	0	0	0	0	0
G1/generic#7	G1/generic#15	0	0	0	0	0	0
G1/generic#7	G2/generic#15	0	0	0	0	0	0
G1/generic#7	G3/generic#15	0	0	0	0	0	0
G2/generic#7	G3/generic#7	0	0	0	0	0	0
G2/generic#7	G0/generic#8	0	0	0	0	0	0
G2/generic#7	G1/generic#8	0	0	0	0	0	0
G2/generic#7	G2/generic#8	0	0	0	0	0	0
G2/generic#7	G3/generic#8	0	0	0	0	0	0
G2/generic#7	G0/generic#9	0	0	0	0	0	0
G2/generic#7	G1/generic#9	0	0	0	0	0	0
G2/generic#7	G2/generic#9	0	0	0	0	0	0
G2/generic#7	G3/generic#9	0	0	0	0	0	0
G2/generic#7	G0/generic#10	0	0	0	0	0	0
G2/generic#7	G1/generic#10	0	0	0	0	0	0
G2/generic#7	G2/generic#10	0	0	0	0	0	0
G2/generic#7	G3/generic#10	0	0	0	0	0	0
G2/generic#7	G0/generic#11	0	0	0	0	0	0
G2/generic#7	G1/generic#11	0	0	0	0	0	0
G2/generic#7	G2/generic#11	0	0	0	0	0	0
G2/generic#7	G3/generic#11	0	0	0	0	0	0
G2/generic#7	G0/generic#12	0	0	0	0	0	0
G2/generic#7	G1/generic#12	0	0	0	0	0	0
G2/generic#7	G2/generic#12	0	0	0	0	0	0
G2/generic#7	G3/generic#12	0	0	0	0	0	0
G2/generic#7	G0/generic#13	0	0	0	0	0	0
G2/generic#7	G1/generic#13	0	0	0	0	0	0
G2/generic#7	G2/generic#13	0	0	0	0	0	0
G2/generic#7	G3/generic#13	0	0	0	0	0	0
G2/generic#7	G0/generic#14	0	0	0	0	0	0
G2/generic#7	G1/generic#14	0	0	0	0	0	0
G2/generic#7	G2/generic#14	0	0	0	0	0	0
G2/generic#7	G3/generic#14	0	0	0	0	0	0
G2/generic#7	G0/generic#15	0	0	0	0	0	0
G2/generic#7	G1/generic#15	0	0	0	0	0	0
G2/generic#7	G2/generic#15	0	0	0	0	0	0
G2/generic#7	G3/generic#15	0	0	0	0	0	0
G3/generic#7	G0/generic#8	0	0	0	0	0	0
G3/generic#7	G1/generic#8	0	0	0	0	0	0
G3/generic#7	G2/generic#8	0	0	0	0	0	0
G3/generic#7	G3/generic#8	0	0	0	0	0	0
